transaction_id,user_id,recipient_id,recipient_name,recipient_upi,amount,timestamp,transaction_type,device_id,location,is_known_recipient,is_known_device,recent_transaction_count,failed_attempts,scenario_id,label
TXN_U041_04162,U041,REC_U041_02,Diya Joshi (Landlord),diya.rent@okhdfcbank,1740.0,2026-05-23T10:47:03.420400,P2P,DEV_ARJUN_ONEPLUS_12,Pune,True,True,3,0,NORMAL,LEGITIMATE
TXN_U003_00275,U003,REC_U003_03,Arjun Singhal,arjun.fam@phonepe,480.0,2026-05-23T10:49:55.359020,P2P,DEV_SURESH_MACBOOK_PRO,Pune,True,True,3,0,NORMAL,LEGITIMATE
TXN_U045_04572,U045,REC_U045_03,Pooja Gupta,pooja.fam@phonepe,1690.0,2026-05-23T12:02:18.927407,P2P,DEV_ROSHNI_ONEPLUS_12,Pune,True,True,1,0,NORMAL,LEGITIMATE
TXN_U041_04123,U041,REC_U041_01,Daily Fresh,dailyfresh@paytm,1020.0,2026-05-23T12:25:11.966954,P2P,DEV_ARJUN_ONEPLUS_12,Pune,True,True,1,0,NORMAL,LEGITIMATE
TXN_U002_00166,U002,REC_U002_03,Neha Singhal,neha.fam@phonepe,420.0,2026-05-23T12:34:09.021526,P2P,DEV_SARA_PIXEL8,Mumbai,True,True,2,0,NORMAL,LEGITIMATE
TXN_U064_06447,U064,REC_U064_02,Ayaan Nair (Landlord),ayaan.rent@okhdfcbank,2480.0,2026-05-23T18:01:41.521495,P2P,DEV_VIVAAN_PIXEL8,Ahmedabad,True,True,3,0,NORMAL,LEGITIMATE
TXN_U078_07879,U078,REC_U078_02,Suresh Patel (Landlord),suresh.rent@okhdfcbank,3180.0,2026-05-23T18:25:14.315262,P2P,DEV_KIARA_PIXEL8,Pune,True,True,2,0,NORMAL,LEGITIMATE
TXN_U036_03602,U036,REC_U036_02,Sai Ghosh (Landlord),sai.rent@okhdfcbank,1240.0,2026-05-23T18:50:45.667855,P2P,DEV_KAVYA_MACBOOK_PRO,Chennai,True,True,3,0,NORMAL,LEGITIMATE
TXN_U017_01670,U017,REC_U017_04,BESCOM,bescom@billpay,190.0,2026-05-23T19:25:48.192937,P2P,DEV_FATIMA_PIXEL8,Pune,True,True,2,0,NORMAL,LEGITIMATE
TXN_U093_09487,U093,REC_U093_02,Navya Pandey (Landlord),navya.rent@okhdfcbank,3860.0,2026-05-23T19:44:31.418016,P2P,DEV_ADITYA_IPHONE15,Pune,True,True,2,0,NORMAL,LEGITIMATE
TXN_U053_05315,U053,REC_U053_02,Sai Joshi (Landlord),sai.rent@okhdfcbank,2040.0,2026-05-23T19:48:32.122630,P2P,DEV_SHAURYA_PIXEL8,Pune,True,True,2,0,NORMAL,LEGITIMATE
TXN_U061_06218,U061,REC_U061_02,Nikhil Banerjee (Landlord),nikhil.rent@okhdfcbank,18400.0,2026-05-23T20:04:20.194739,RENT,DEV_GAURAV_GALAXY_S24,Pune,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
TXN_U100_10182,U100,REC_U100_04,Adani Electricity,adanielectricity@billpay,5100.0,2026-05-23T20:54:19.833537,P2P,DEV_ANANYA_ONEPLUS_12,Bengaluru,True,True,1,0,NORMAL,LEGITIMATE
TXN_U075_07598,U075,REC_U075_04,Airtel Fiber,airtelfiber@billpay,1050.0,2026-05-23T20:56:14.859205,P2P,DEV_NEHA_PIXEL8,Kolkata,True,True,1,0,NORMAL,LEGITIMATE
TXN_U074_07527,U074,REC_MULE_7527,FastCash Verification Agent,mule.kyc@ybl,75000.0,2026-05-23T21:22:07.910815,P2P,DEV_SCAM_DEVICE_7527,Kolkata,False,False,4,2,SOCIAL_ENGINEERING,COERCION
TXN_U079_08028,U079,REC_U079_01,Nature Basket,naturebasket@paytm,2730.0,2026-05-23T22:25:44.516599,P2P,DEV_DHRUV_PIXEL8,Chennai,True,True,1,0,UNUSUAL_TIME,LEGITIMATE
TXN_U070_07080,U070,REC_U070_04,MSEDCL,msedcl@billpay,1160.0,2026-05-23T22:29:36.222313,P2P,DEV_DEEPA_REDMI_NOTE13,Kolkata,True,True,3,0,NORMAL,LEGITIMATE
TXN_U075_07624,U075,REC_U075_01,Kirana Store,kiranastore@paytm,3290.0,2026-05-23T22:59:36.235089,P2M,DEV_NEHA_PIXEL8,Kolkata,True,True,1,0,NORMAL,LEGITIMATE
TXN_U096_09756,U096,REC_U096_02,Ayaan Bhatia (Landlord),ayaan.rent@okhdfcbank,4750.0,2026-05-23T23:20:32.129585,P2P,DEV_AADHYA_IPHONE15,Hyderabad,True,True,1,0,NORMAL,LEGITIMATE
TXN_U055_05561,U055,REC_U055_01,Kirana Store,kiranastore@paytm,9090.0,2026-05-24T00:15:44.430534,P2M,DEV_GAURAV_IPHONE15,Kolkata,True,True,1,0,AMOUNT_SPIKE,UNUSUAL_LEGITIMATE
TXN_U002_00175,U002,REC_U002_01,Daily Fresh,dailyfresh@paytm,290.0,2026-05-24T01:36:29.587809,P2P,DEV_SARA_PIXEL8,Mumbai,True,True,1,0,UNUSUAL_TIME,LEGITIMATE
TXN_U009_00859,U009,REC_MULE_859,FastCash Verification Agent,mule.kyc@ybl,75000.0,2026-05-24T02:55:23.454317,P2P,DEV_SCAM_DEVICE_859,Kolkata,False,False,4,2,SOCIAL_ENGINEERING,COERCION
TXN_U008_00778,U008,REC_U008_01,Kirana Store,kiranastore@paytm,660.0,2026-05-24T03:19:30.266386,P2M,DEV_UNRECOGNIZED_HARDWARE_778,Delhi-NCR,True,False,1,0,NEW_DEVICE,SUSPICIOUS
TXN_U079_08073,U079,REC_U079_01,Nature Basket,naturebasket@paytm,2730.0,2026-05-24T04:38:26.024966,P2P,DEV_DHRUV_PIXEL8,Chennai,True,True,1,0,UNUSUAL_TIME,LEGITIMATE
TXN_U085_08643,U085,REC_SUSP_8643,Amit Kumar,amit.kumar89@okaxis,45000.0,2026-05-24T05:40:52.142126,P2P,DEV_UNKNOWN_EMULATOR_8643,Chennai,False,False,1,0,MULTI_SIGNAL_ANOMALY,ATO
TXN_U027_02673,U027,REC_U027_02,Divya Nair (Landlord),divya.rent@okhdfcbank,36900.0,2026-05-24T06:38:21.651851,RENT,DEV_ARNAV_ONEPLUS_12,Ahmedabad,True,True,1,0,LEGITIMATE_HIGH_VALUE,LEGITIMATE
